companies,Website,email,phone,address
Rolls-Royce Holdings plc,https://www.rolls-royce.com,eu.affairs@rolls-royce.com,874524922,Not found
BAE Systems plc,https://www.baesystems.com,Not found,2-104796113,Not found
GlaxoSmithKline plc (GSK),https://www.gsk.com,Not found,985938369,"Registered office: 79 New Oxford Street, London. United Kingdom. WC1A 1DG"
Unilever plc,https://www.unilever.com,Not found,9193225197,Not found
AstraZeneca plc,https://www.astrazeneca.com,Not found,351728217,Not found
BT Group plc,https://www.bt.com,Not found,9207024555,1 Braham Street
Tesco plc,https://www.tescoplc.com,Not found,1747048554376,Not found
Diageo plc,https://www.diageo.com,Not found,866248387,Not found
Vodafone Group plc,https://www.vodafone.com,flags@2x.png,33333333333334,Vodafone makes world’s first space video call from an area of no coverage using a standard mobile phone and commercial satellites built to offer a full mobile broadband experience.
Jaguar Land Rover (subsidiary of TATA),https://www.jaguarlandrover.com,Not found,1748721810,"Registered office: Abbey Road, Whitley, Coventry, CV3 4LF"
