Company,Website,Cloud Tool Mentioned,Cloud Source URL,MES Tool Mentioned,MES Source URL,PLM Tool Mentioned,PLM Source URL
Rolls-Royce Holdings plc,https://www.rolls-royce.com,-,https://www.rolls-royce.com/cloud,-,https://www.rolls-royce.com/cloud,-,https://www.rolls-royce.com/cloud
BAE Systems plc,https://www.baesystems.com,-,https://www.baesystems.com/cloud,-,https://www.baesystems.com/cloud,-,https://www.baesystems.com/cloud
GlaxoSmithKline plc (GSK),https://www.gsk.com,AWS,https://www.gsk.com/cloud,-,https://www.gsk.com/cloud,-,https://www.gsk.com/cloud
Unilever plc,https://www.unilever.com,-,https://www.unilever.com/cloud,-,https://www.unilever.com/cloud,-,https://www.unilever.com/cloud
AstraZeneca plc,https://www.astrazeneca.com,AWS,https://www.astrazeneca.com/cloud,-,https://www.astrazeneca.com/cloud,-,https://www.astrazeneca.com/cloud
BT Group plc,https://www.bt.com,AWS,https://www.bt.com/cloud,-,https://www.bt.com/cloud,-,https://www.bt.com/cloud
Tesco plc,https://www.tescoplc.com,-,https://www.tescoplc.com/cloud,-,https://www.tescoplc.com/cloud,-,https://www.tescoplc.com/cloud
Diageo plc,https://www.diageo.com,-,https://www.diageo.com/cloud,-,https://www.diageo.com/cloud,-,https://www.diageo.com/cloud
Vodafone Group plc,https://www.vodafone.com,-,https://www.vodafone.com/cloud,-,https://www.vodafone.com/cloud,-,https://www.vodafone.com/cloud
Jaguar Land Rover (subsidiary of TATA),https://www.jaguarlandrover.com,-,https://www.jaguarlandrover.com/cloud,-,https://www.jaguarlandrover.com/cloud,-,https://www.jaguarlandrover.com/cloud
